10
1000 2000
873 689 -959
416 417 -928
682 683 -900
992 672 -963
271 272 -973
946 947 -905
712 805 -927
122 317 -959
381 686 -902
521 910 -936
312 313 -937
647 648 -958
305 306 -984
768 769 -931
511 512 -962
762 763 -994
99 775 -959
248 249 -969
757 758 -908
444 504 -919
742 241 -954
657 658 -979
666 799 -949
496 497 -942
768 858 -958
205 206 -953
902 903 -927
24 25 -950
709 346 -924
267 601 -988
140 141 -910
29 601 -902
826 827 -963
248 210 -964
160 161 -928
518 599 -960
728 729 -991
811 295 -937
981 982 -971
773 821 -974
721 722 -966
955 956 -901
545 546 -934
626 5 -967
590 591 -988
834 99 -970
692 693 -936
54 55 -925
160 558 -979
495 496 -954
207 129 -967
883 552 -981
169 321 -955
867 182 -913
793 396 -949
307 308 -963
533 907 -974
136 137 -961
809 979 -910
136 962 -959
525 656 -916
678 679 -980
874 174 -933
669 871 -965
661 662 -930
25 26 -903
800 801 -934
388 789 -968
987 927 -961
282 283 -972
716 649 -967
889 890 -990
167 234 -946
884 638 -988
242 740 -959
49 50 -936
626 627 -911
315 170 -984
763 796 -999
672 673 -981
679 680 -908
792 787 -923
827 279 -914
609 646 -926
163 141 -942
493 492 -993
981 712 -917
601 602 -967
724 725 -952
669 665 -900
644 645 -901
616 617 -971
275 832 -970
484 441 -979
268 269 -957
332 491 -961
991 992 -988
767 768 -985
937 938 -902
782 803 -987
335 838 -924
356 426 -928
209 627 -979
362 363 -944
439 638 -907
183 845 -965
550 551 -947
88 89 -993
309 310 -908
850 297 -988
364 651 -980
486 487 -974
254 255 -987
540 891 -998
892 765 -963
556 557 -925
412 719 -994
864 865 -971
288 918 -937
330 331 -907
103 540 -962
505 927 -976
26 491 -909
413 67 -918
644 975 -955
188 189 -971
607 608 -983
79 306 -958
8 9 -900
94 340 -909
851 852 -978
792 793 -916
835 735 -909
142 143 -997
531 532 -901
13 20 -949
195 196 -936
325 326 -983
702 703 -909
147 848 -935
570 664 -946
768 886 -1000
539 540 -949
388 389 -992
625 909 -998
439 855 -923
165 166 -975
900 901 -935
579 580 -956
260 39 -923
135 136 -918
125 406 -938
772 562 -948
79 80 -959
802 891 -995
1 2 -950
602 138 -937
930 931 -999
840 841 -919
661 892 -947
55 56 -906
599 494 -926
775 776 -992
796 779 -985
586 587 -936
934 935 -947
119 120 -909
864 227 -932
507 26 -969
976 977 -919
544 545 -911
280 281 -935
548 89 -929
188 761 -934
420 421 -961
676 677 -979
564 565 -960
882 883 -920
209 424 -901
317 318 -911
430 987 -928
13 631 -935
134 603 -969
274 275 -961
243 355 -912
83 84 -943
858 859 -919
424 781 -939
978 0 -919
587 608 -977
328 329 -908
193 194 -958
212 213 -901
124 125 -948
364 784 -957
45 46 -914
921 922 -984
787 788 -966
468 804 -943
521 522 -908
630 631 -973
260 880 -920
337 956 -972
14 15 -953
228 229 -932
869 399 -977
714 212 -991
386 387 -954
22 731 -929
664 665 -979
490 570 -932
353 582 -971
796 797 -910
540 541 -982
627 628 -979
283 762 -992
379 380 -955
116 117 -946
57 310 -931
450 451 -984
914 682 -955
845 846 -926
867 868 -913
597 598 -955
556 895 -940
796 869 -953
174 175 -964
419 420 -949
738 714 -950
966 967 -906
901 902 -946
447 448 -981
797 798 -914
114 115 -976
139 570 -957
221 222 -994
738 865 -947
765 716 -934
959 581 -999
14 454 -950
958 959 -973
919 920 -905
22 23 -952
52 53 -990
465 466 -908
743 184 -958
